dassco:taxonID	dassco:name	dassco:author	dassco:fullname	dassco:epithet	dassco:rankid	dassco:extinct	dwc:taxonID	dwc:scientificName	dwc:scientificNameAuthorship	dwc:parentNameUsageID	dwc:parentNameUsage	dwc:acceptedNameUsageID	dwc:acceptedNameUsage	dwc:taxonomicStatus	dwc:taxonRank	sp:taxonID	sp:fullname	sp:author	sp:rankid	sp:rankname	sp:parentname	sp:taxonnr	sp:taxonnrsource
79edeba01a3dd86da17bbf450f68e0ef	Abelmoschus moschatus	Medik.	Abelmoschus moschatus Medik.		220	false										6127592	Abelmoschus moschatus Medik.		220	Species	Abelmoschus		
8fba047eecd3f4ae2bbb16ba826ec876	Aberemoa palanga	Oerst.	Aberemoa palanga Oerst.		220	false										6174025	Aberemoa palanga Oerst.		220	Species	Aberemoa		
20b526bd82b164d704c0227629d70592	Abildgaardia membranacea		Abildgaardia membranacea 		220	false										6176645	Abildgaardia membranacea		220	Species	Abildgaardia		
f1b8b46dfcdab4d821c9f82d023588a9	Abildgaardia pilosa	Nees	Abildgaardia pilosa Nees		220	false										6173177	Abildgaardia pilosa Nees		220	Species	Abildgaardia		
ca9c01f60946c3b554fd9b26a0a90210	Abildgaardia tristachya	Not on sheet	Abildgaardia tristachya Not on sheet		220	false										6176646	Abildgaardia tristachya		220	Species	Abildgaardia		
d134a38ae6278c34e5877b3171cdadcb	Abroma augusta	L. f.	Abroma augusta L. f.		220	false										6127025	Abroma augusta L.f.		220	Species	Abroma		
1ace8cb8711dac242e1f7ffb2e90da42	Abroma integrifolia		Abroma integrifolia 		220	false										6181135	Abroma integrifolia		220	Species	Abroma		
6262496d0f24f91d48c49b1a92af769c	Abrus tenuiflorus	Benth.	Abrus tenuiflorus Benth.		220	false										6121672	Abrus tenuiflorus Benth.		220	Species	Abrus		
984f6d048336cf024a4805b8abe91ccf	Abutilon angulatum	Not on sheet	Abutilon angulatum Not on sheet		220	false										6173204	Abutilon angulatum		220	Species	Abutilon		
a081638cef66e34f27a4b684a3288bf8	Abutilon guineense	(Schumach. & Thonn.) Baker fil. & Exell	Abutilon guineense (Schumach. & Thonn.) Baker fil. & Exell		220	false										6117198	Abutilon guineense (Schumach. & Thonn.) Baker f. & Exell		220	Species	Abutilon		
bb3502ed7b53056162664ebfb482e4d8	Abutilon hirsutum	(Lam.) G. Don	Abutilon hirsutum (Lam.) G. Don		220	false										6173202	Abutilon hirsutum (Lam.) G.Don		220	Species	Abutilon		
a4d95a235986c986c91dc105cc7c2b19	Abutilon neovidence	K. Schum.	Abutilon neovidence K. Schum.		220	false										6123534	Abutilon neovidence K.Schum.		220	Species	Abutilon		
783f31207864c507c21882285d0b66ff	Abutilon purpurascens K. Schum.	K.Schum.	Abutilon purpurascens K. Schum. K.Schum.		220	false										6123536	Abutilon purpurascens K.Schum.		220	Species	Abutilon		
13b898be5136a4511b498b0ffc5636a0	Abutilon rufivelum	K. Schum. ex Glaz.	Abutilon rufivelum K. Schum. ex Glaz.		220	false										6123539	Abutilon rufivelum K.Schum. ex Glaz.		220	Species	Abutilon		
27ca77626af82508af821a8cf1b2e75a	Abutilon venosum	Walp.	Abutilon venosum Walp.		220	false										6123542	Abutilon venosum Walp.		220	Species	Abutilon		
284c1bc91fbab495b05938e6655a9be3	Abutilon warmingii	K. Schum.	Abutilon warmingii K. Schum.		220	false										6178640	Abutilon warmingii K.Schum.		220	Species	Abutilon		
aebef2dab6bd8b61c5ddd869e7ff89a9	Abutilon wissaduloides	Baker f. ex Rose	Abutilon wissaduloides Baker f. ex Rose		220	false										6123544	Abutilon wissaduloides Baker f. ex Rose		220	Species	Abutilon		
fd79128dd124db5d4be124611df3f6ba	Acacia adianthifolia		Acacia adianthifolia 		220	false										6172895	Acacia adianthifolia		220	Species	Acacia		
