dassco:taxonID	dassco:name	dassco:author	dassco:fullname	dassco:epithet	dassco:rankid	dassco:extinct	dwc:taxonID	dwc:scientificName	dwc:scientificNameAuthorship	dwc:parentNameUsageID	dwc:parentNameUsage	dwc:acceptedNameUsageID	dwc:acceptedNameUsage	dwc:taxonomicStatus	dwc:taxonRank	sp:taxonID	sp:fullname	sp:author	sp:rankid	sp:rankname	sp:parentname	sp:taxonnr	sp:taxonnrsource
c5d67d4bd6109fce6ef3a10940ae80f3	Potamogeton ser.abbreviatus	Hagstr.	Potamogeton ser.abbreviatus Hagstr.		200	false										6180325	Potamogeton ser.abbreviatus Hagstr.		200	Series	Potamogeton		
f7377c26272392d7c1d9d6a2342af0e3	Acacia pennata subsp. kerrii I.C. Nielsen	I.C.Nielsen	Acacia pennata subsp. kerrii I.C. Nielsen I.C.Nielsen		230	false										6121677	Acacia pennata subsp. kerrii I.C. Nielsen		230	Subspecies	Acacia pennata		
e7537606fce0a268e4b376bb3403a0c8	Acantholimon macranthum subsp. macranthum	Rech. f. & Køie	Acantholimon macranthum subsp. macranthum Rech. f. & Køie		230	false										6125165	Acantholimon macranthum subsp. macranthum Rech.f. & Köie		230	Subspecies	Acantholimon macranthum		
4738181184d086406a8457852fb555a3	Acer italum subsp. hyrcanum	Pax	Acer italum subsp. hyrcanum Pax		230	false										6173763	Acer italum subsp. hyrcanum Pax		230	Subspecies	Acer italum		
30f35a2a8b51fad60ceb4fcab73bb7f6	Achillea grandifolia subsp. hellenica	Kit Tan et al.	Achillea grandifolia subsp. hellenica Kit Tan et al.		230	false										6128620	Achillea grandifolia subsp. hellenica Kit Tan et al.		230	Subspecies	Achillea grandifolia		
ff079bb150c3be2c38f313b78b9af131	Achillea melefolium subsp. borealis		Achillea melefolium subsp. borealis 		230	false										4052347	Achillea melefolium subsp. borealis		230	Subspecies	Achillea melefolium		
72875f90eb950b831b12154b1158248f	Achillea millefolia subsp. borealis		Achillea millefolia subsp. borealis 		230	false										4052355	Achillea millefolia subsp. borealis		230	Subspecies	Achillea millefolia		
1f02328fe49df1825e68f24400ac72f1	Achillea millefolium subsp. borealis		Achillea millefolium subsp. borealis 		230	false										2073851	Achillea millefolium subsp. borealis		230	Subspecies	Achillea millefolium		
62e765e9f3d57af814ecf581c7ce4205	Achillea millefolium subsp. laminosa		Achillea millefolium subsp. laminosa 		230	false										4052350	Achillea millefolium subsp. laminosa		230	Subspecies	Achillea millefolium		
80e03084da77110344d8ecea7061bf04	Achillea millefolium subsp. lanulosa		Achillea millefolium subsp. lanulosa 		230	false										2085969	Achillea millefolium subsp. lanulosa		230	Subspecies	Achillea millefolium		
