"count";"taxontreedefid";"rank_";"taxon_full_name"
1;13;family;(F.Pax) A.Takhtadzhyan
1;13;family;Acanthaceae
1;13;family;Achariaceae
1;13;family;Achatocarpaceae
1;13;family;Acoraceae
1;13;family;Acorales
1;13;family;Adoxaceae
1;13;family;Agaricomycetes
1;13;family;Agdestidaceae
1;13;family;Akaniaceae
1;13;family;Alismataceae
1;13;family;Alliaceae
1;13;family;Alstroemeriaceae
1;13;family;Altingiaceae
1;13;family;Alzateaceae
1;13;family;Amaryllidaceae
1;13;family;Amphorogynaceae
1;13;family;Anacampserotaceae
1;13;family;Ancistrocladaceae
1;13;family;Annonaceae
1;13;family;Anthericaceae
1;13;family;Aphanopetalaceae
1;13;family;Aphyllanthaceae
1;13;family;Apodanthaceae
1;13;family;Aponogetonaceae
1;13;family;Aptandraceae
1;13;family;Araceae
1;13;family;Araliaceae
1;13;family;Araucariaceae
1;13;family;Arecaceae
1;13;family;Arecales
1;13;family;Argophyllaceae
1;13;family;Asparagaceae
1;13;family;Asphodelaceae
1;13;family;Aspleniaceae
1;13;family;Asteropeiaceae
1;13;family;Atherospermataceae
1;13;family;Barbeuiaceae
1;13;family;Begoniaceae
1;13;family;Berberidopsidaceae
1;13;family;Berberidopsidales
1;13;family;Betulaceae
1;13;family;Bignoniaceae
1;13;family;Bixaceae
1;13;family;Blechnaceae
1;13;family;Brassicaceae
1;13;family;Bromeliaceae
1;13;family;Brunelliaceae
1;13;family;Burmanniaceae
1;13;family;Butomaceae
1;13;family;Calophyllaceae
1;13;family;Calyceraceae
1;13;family;Campanulaceae
1;13;family;Cannaceae
1;13;family;Cardiopteridaceae
1;13;family;Carlemanniaceae
1;13;family;Caryocaraceae
1;13;family;Casuarinaceae
1;13;family;Cephalotaxaceae
1;13;family;Ceratophyllaceae
1;13;family;Ceratophyllales
1;13;family;Characeae
1;13;family;Charales
1;13;family;Charophyceae
1;13;family;Circaeasteraceae
1;13;family;Cleomaceae
1;13;family;Clethraceae
1;13;family;Cochlospermaceae
1;13;family;Codonaceae
1;13;family;Colchicaceae
1;13;family;Comandraceae
1;13;family;Commelinaceae
1;13;family;Convallariaceae
1;13;family;Cordiaceae
1;13;family;Coriariaceae
1;13;family;Cornaceae
1;13;family;Costaceae
1;13;family;Crossosomataceae
1;13;family;Crypteroniaceae
1;13;family;Ctenolophonaceae
1;13;family;Cupressaceae
1;13;family;Curtisiaceae
1;13;family;Cyatheaceae
1;13;family;Cycadaceae
1;13;family;Cyclanthaceae
1;13;family;Cymodoceaceae
1;13;family;Cyperaceae
1;13;family;Cyrillaceae
1;13;family;Daphniphyllaceae
1;13;family;Datiscaceae
1;13;family;Dennstaedtiaceae
1;13;family;Dicksoniaceae
1;13;family;Didiereaceae
1;13;family;Dioscoreaceae
1;13;family;Dipentodontaceae
1;13;family;Dipteridaceae
1;13;family;Droseraceae
1;13;family;Dryopteridaceae
1;13;family;Ebenaceae
1;13;family;Ehretiaceae
1;13;family;Ephedraceae
1;13;family;Ephedrales
1;13;family;Equisetaceae
1;13;family;Equisetales
1;13;family;Eriocaulaceae
1;13;family;Erythropalaceae
1;13;family;Euphorbiaceae
1;13;family;Fagaceae
1;13;family;Flagellariaceae
1;13;family;Francoaceae
1;13;family;Frankeniaceae
1;13;family;G mez-Laur. & L.D.G mez
1;13;family;Gleicheniaceae
1;13;family;Gnetaceae
1;13;family;Gnetales
1;13;family;Griseliniaceae
1;13;family;Grubbiaceae
1;13;family;Gunneraceae
1;13;family;Gunnerales
1;13;family;Haemodoraceae
1;13;family;Haloragaceae
1;13;family;Hanguanaceae
1;13;family;Heliotropiaceae
1;13;family;Helwingiaceae
1;13;family;Hemerocallidaceae
1;13;family;Hippocastanaceae
